Fecha,Temp_Maxima_C,Temp_Minima_C
2024-01-01,24.1,13.1
2024-01-02,24.2,13.7
2024-01-03,23.2,15.0
2024-01-04,27.2,15.6
2024-01-05,25.8,17.0
2024-01-06,28.2,21.8
2024-01-07,28.6,21.2
2024-01-08,27.2,21.1
2024-01-09,27.7,22.8
2024-01-10,26.5,20.8
2024-01-11,28.2,20.7
2024-01-12,28.2,23.3
2024-01-13,28.2,21.6
2024-01-14,28.0,20.5
2024-01-15,28.5,20.8
2024-01-16,27.3,21.8
2024-01-17,26.0,20.7
2024-01-18,28.7,19.1
2024-01-19,28.4,20.8
2024-01-20,26.6,20.3
2024-01-21,25.8,18.9
2024-01-22,26.5,19.5
2024-01-23,25.7,21.3
2024-01-24,27.2,21.9
2024-01-25,28.0,22.0
2024-01-26,28.0,20.4
2024-01-27,28.4,20.0
2024-01-28,28.3,20.3
2024-01-29,22.9,18.5
2024-01-30,21.8,15.8
2024-01-31,24.6,14.8
2024-02-01,25.0,14.5
2024-02-02,24.1,14.9
2024-02-03,25.1,14.5
2024-02-04,27.3,18.1
2024-02-05,24.1,16.8
2024-02-06,22.6,16.2
2024-02-07,22.7,15.7
2024-02-08,23.8,13.7
2024-02-09,24.9,15.6
2024-02-10,25.3,17.0
2024-02-11,27.8,18.8
2024-02-12,27.9,21.0
2024-02-13,25.4,19.5
2024-02-14,26.5,17.3
2024-02-15,27.0,16.9
2024-02-16,27.4,18.5
2024-02-17,27.5,19.8
2024-02-18,26.2,21.5
2024-02-19,24.5,17.2
2024-02-20,22.9,14.6
2024-02-21,23.0,14.3
2024-02-22,23.6,12.8
2024-02-23,25.2,13.9
2024-02-24,27.4,16.8
2024-02-25,24.8,14.1
2024-02-26,25.7,13.1
2024-02-27,26.4,15.4
2024-02-28,27.9,17.2
2024-02-29,28.8,17.5
2024-03-01,27.9,20.1
2024-03-02,27.9,20.6
2024-03-03,29.2,20.0
2024-03-04,29.5,21.1
2024-03-05,28.6,20.5
2024-03-06,28.6,21.1
2024-03-07,28.7,20.7
2024-03-08,29.3,21.3
2024-03-09,29.3,23.1
2024-03-10,29.5,22.0
2024-03-11,31.2,21.0
2024-03-12,29.3,20.8
2024-03-13,30.2,21.2
2024-03-14,30.3,21.5
2024-03-15,29.8,21.4
2024-03-16,31.2,21.2
2024-03-17,31.0,21.3
2024-03-18,29.8,21.7
2024-03-19,30.1,22.3
2024-03-20,31.2,20.6
2024-03-21,30.4,20.9
2024-03-22,29.2,22.1
2024-03-23,27.7,20.3
2024-03-24,27.3,18.6
2024-03-25,28.6,17.5
2024-03-26,29.7,21.3
2024-03-27,29.6,22.9
2024-03-28,29.1,21.5
2024-03-29,27.9,19.2
2024-03-30,27.6,19.1
2024-03-31,28.0,18.7
2024-04-01,29.3,19.0
2024-04-02,29.9,20.3
2024-04-03,29.4,24.1
2024-04-04,27.1,20.6
2024-04-05,28.2,18.9
2024-04-06,29.1,16.9
2024-04-07,28.9,15.3
2024-04-08,28.6,17.1
2024-04-09,28.2,19.5
2024-04-10,30.3,22.6
2024-04-11,30.7,24.6
2024-04-12,29.1,22.3
2024-04-13,30.0,20.4
2024-04-14,29.3,19.3
2024-04-15,29.7,19.2
2024-04-16,29.3,19.7
2024-04-17,30.1,20.9
2024-04-18,30.0,20.5
2024-04-19,30.8,20.9
2024-04-20,31.0,21.0
2024-04-21,31.1,20.4
2024-04-22,32.9,20.5
2024-04-23,31.9,21.3
2024-04-24,30.4,21.4
2024-04-25,30.4,21.0
2024-04-26,30.4,20.3
2024-04-27,30.5,21.1
2024-04-28,29.5,23.2
2024-04-29,30.1,21.6
2024-04-30,31.4,20.7
2024-05-01,32.2,20.6
2024-05-02,31.5,21.5
2024-05-03,31.8,22.1
2024-05-04,31.7,21.9
2024-05-05,31.4,22.8
2024-05-06,31.5,23.1
2024-05-07,32.9,23.2
2024-05-08,32.6,23.8
2024-05-09,32.6,23.5
2024-05-10,32.9,23.1
2024-05-11,33.5,23.9
2024-05-12,33.5,23.1
2024-05-13,32.8,24.1
2024-05-14,33.2,24.7
2024-05-15,32.2,27.0
2024-05-16,32.5,26.6
2024-05-17,32.1,26.6
2024-05-18,32.5,26.0
2024-05-19,32.8,24.8
2024-05-20,33.7,23.8
2024-05-21,32.8,23.9
2024-05-22,33.3,22.7
2024-05-23,32.0,23.4
2024-05-24,31.7,23.2
2024-05-25,33.8,23.6
2024-05-26,33.7,24.1
2024-05-27,33.8,23.9
2024-05-28,33.6,24.4
2024-05-29,34.8,24.7
2024-05-30,33.0,25.1
2024-05-31,33.3,24.9
2024-06-01,33.5,24.1
2024-06-02,32.9,23.8
2024-06-03,31.4,23.0
2024-06-04,31.9,23.3
2024-06-05,33.1,24.2
2024-06-06,31.6,24.1
2024-06-07,31.9,23.2
2024-06-08,30.9,23.0
